2018-10-10 08:48:25.624 [http-apr-8080-exec-7] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'yto-dispatcher': initialization started
2018-10-10 08:48:25.718 [http-apr-8080-exec-7] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'yto-dispatcher-servlet': startup date [Wed Oct 10 08:48:25 CST 2018]; root of context hierarchy
2018-10-10 08:48:25.843 [http-apr-8080-exec-7] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [H:\ideaCode\yto\target\yto\WEB-INF\classes\spring\spring-dao.xml]
2018-10-10 08:48:26.109 [http-apr-8080-exec-7] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [H:\ideaCode\yto\target\yto\WEB-INF\classes\spring\spring-service.xml]
2018-10-10 08:48:28.812 [http-apr-8080-exec-7] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [H:\ideaCode\yto\target\yto\WEB-INF\classes\spring\spring-web.xml]
2018-10-10 08:48:32.905 [http-apr-8080-exec-7] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/insert],methods=[POST || GET]}" onto public yto.net.cn.dto.Result<java.lang.Integer> yto.net.cn.controller.YtoTestController.insert(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-10 08:48:32.905 [http-apr-8080-exec-7] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/hello],methods=[POST || GET]}" onto public java.lang.String yto.net.cn.controller.YtoTestController.hello()
2018-10-10 08:48:33.671 [http-apr-8080-exec-7] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'yto-dispatcher-servlet': startup date [Wed Oct 10 08:48:25 CST 2018]; root of context hierarchy
2018-10-10 08:48:33.827 [http-apr-8080-exec-7] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'yto-dispatcher-servlet': startup date [Wed Oct 10 08:48:25 CST 2018]; root of context hierarchy
2018-10-10 08:48:34.858 [http-apr-8080-exec-7] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-10-10 08:48:35.077 [http-apr-8080-exec-7] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'yto-dispatcher': initialization completed in 9437 ms
